SizeRank,County,Year,Value,Impact
1725,Pointe Coupee Parish,2013,310971.5980932103,Unaffected
2071,West Feliciana Parish,2013,365057.5277411711,Unaffected
158,East Baton Rouge Parish,2013,319550.5999776782,Unaffected
160,Jefferson Parish,2013,305297.8137596209,Affected
178,Orleans Parish,2013,398753.6074039415,Affected
274,Caddo Parish,2013,245018.16026992103,Unaffected
462,Livingston Parish,2013,251690.7172911739,Unaffected
1041,Washington Parish,2013,193339.7283017896,Affected
1360,Iberville Parish,2013,243248.3661748735,Unaffected
1560,West Baton Rouge Parish,2013,258091.0837579467,Unaffected
1661,Plaquemines Parish,2013,413671.8717531561,Affected
1725,Pointe Coupee Parish,2013,310637.19255484914,Unaffected
2071,West Feliciana Parish,2013,366251.8332353181,Unaffected
158,East Baton Rouge Parish,2013,320997.0983529149,Unaffected
160,Jefferson Parish,2013,306846.5224655194,Affected
178,Orleans Parish,2013,401225.542031362,Affected
274,Caddo Parish,2013,245479.21773975453,Unaffected
462,Livingston Parish,2013,253189.4318135965,Unaffected
1041,Washington Parish,2013,193803.0077353331,Affected
1360,Iberville Parish,2013,243269.47483011885,Unaffected
1560,West Baton Rouge Parish,2013,258398.8257317874,Unaffected
1661,Plaquemines Parish,2013,412168.7133033135,Affected
1725,Pointe Coupee Parish,2013,310023.9305708779,Unaffected
2071,West Feliciana Parish,2013,367822.761578317,Unaffected
158,East Baton Rouge Parish,2013,321300.39639933547,Unaffected
160,Jefferson Parish,2013,307307.57993535284,Affected
178,Orleans Parish,2013,403303.0781002502,Affected
274,Caddo Parish,2013,245881.39317127195,Unaffected
462,Livingston Parish,2013,253733.8129225565,Unaffected
1041,Washington Parish,2013,194178.51960233,Affected
1360,Iberville Parish,2013,243961.6165257966,Unaffected
1560,West Baton Rouge Parish,2013,258876.54792944615,Unaffected
1661,Plaquemines Parish,2013,411068.8412668432,Affected
1725,Pointe Coupee Parish,2013,310221.6853410715,Unaffected
2071,West Feliciana Parish,2013,369819.1959717887,Unaffected
158,East Baton Rouge Parish,2013,321643.68979253684,Unaffected
160,Jefferson Parish,2013,308006.3875221607,Affected
178,Orleans Parish,2013,406019.4287357752,Affected
274,Caddo Parish,2013,245910.2786995025,Unaffected
462,Livingston Parish,2013,254819.2421949115,Unaffected
1041,Washington Parish,2013,194706.23598346475,Affected
1360,Iberville Parish,2013,243899.40154191543,Unaffected
1560,West Baton Rouge Parish,2013,259038.7512802792,Unaffected
1661,Plaquemines Parish,2013,409915.642101332,Affected
1725,Pointe Coupee Parish,2013,310092.8114458891,Unaffected
2071,West Feliciana Parish,2013,372386.675038741,Unaffected
158,East Baton Rouge Parish,2013,322672.45899028576,Unaffected
160,Jefferson Parish,2013,309424.0003691668,Affected
178,Orleans Parish,2013,409364.5951012418,Affected
274,Caddo Parish,2013,245876.94924385185,Unaffected
462,Livingston Parish,2013,255903.56048541144,Unaffected
1041,Washington Parish,2013,195732.7832175037,Affected
1360,Iberville Parish,2013,244286.02322746257,Unaffected
1560,West Baton Rouge Parish,2013,259476.47813115723,Unaffected
1661,Plaquemines Parish,2013,411103.28170434886,Affected
1725,Pointe Coupee Parish,2013,310820.5045609275,Unaffected
